"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4613"	4613	0.555700741620289	0.0448765434434798	0.408341556552703	0.892496806890594	0.868379847761378	2.79558103263625	12.6796383672927	0.508574477020589	-152.950343149096
"4619"	4619	0.556212411848608	0.0435195412868476	0.438684219516441	0.9236928339778	0.863661352834789	2.42715515986003	12.1103525024161	0.512750646581124	-152.135983439455
"4625"	4625	0.559122540947187	0.0494473321194649	0.427474886877695	0.928432260447953	0.847468278980841	2.99345754483394	12.0938701416606	0.462800924590342	-151.917396022719
"4631"	4631	0.568230445063135	0.0497613023123595	0.342947690060189	0.973803884711783	0.957325814299066	4.29580041840036	11.8839045229975	0.656010250352628	-151.681517507998
"4637"	4637	0.569170520356543	0.0501225425726533	0.345051878957073	0.966918040759857	0.930885632130849	4.66117323389252	12.9852377827992	0.57138258225548	-150.935975829067
"4643"	4643	0.566600161737758	0.0404405967682362	0.403348861969915	0.9158309182593	0.976350372393866	4.86500143622608	11.7968209914364	0.74770372118605	-151.30969788984
"4649"	4649	0.569594379931222	0.0383080737712916	0.478239057417155	0.920776749380321	0.836674592840046	5.3105078208624	12.0826282291857	0.595735460822064	-151.885993254794
"4655"	4655	0.574452341644967	0.0468198608489896	0.354740845964646	0.955999030513304	0.962575244513006	5.05892945396391	10.7467938285361	0.740249293113641	-150.939620123825
"4661"	4661	0.571765658986873	0.0429108502814514	0.389784567219596	0.940164584715819	0.995810862851057	2.94288683485743	10.657609072946	0.853498562503368	-150.780258010785
"4667"	4667	0.571765658986873	0.0429108502814514	0.389784567219596	0.940164584715819	0.995810862851057	2.94288683485743	10.657609072946	0.853498562503368	-150.780258010785
"4673"	4673	0.571538006977685	0.0457811664064207	0.556217804346287	0.953100617273231	0.703529787868751	6.95379811413636	9.78238752014392	0.487097302206024	-150.189375787894
"4679"	4679	0.571538006977685	0.0457811664064207	0.556217804346287	0.953100617273231	0.703529787868751	6.95379811413636	9.78238752014392	0.487097302206024	-150.189375787894
