"","median","vector_days","Temperature"
"X2017.01.11.10.00.00","299.4024",2017-01-11,26.2524
"X2017.01.12.10.00.00","301.1705",2017-01-12,28.0205
"X2017.01.13.10.00.00","301.8786",2017-01-13,28.7286
"X2017.01.14.10.00.00","302.9407",2017-01-14,29.7907
"X2017.01.15.10.00.00","302.3951",2017-01-15,29.2451
"X2017.01.16.10.00.00","303.2022",2017-01-16,30.0522
"X2017.01.17.10.00.00","301.2838",2017-01-17,28.1338
"X2017.01.18.10.00.00","302.4948",2017-01-18,29.3448
"X2017.01.19.10.00.00","304.9924",2017-01-19,31.8424
"X2017.01.20.10.00.00","305.6862",2017-01-20,32.5362
"X2017.01.21.10.00.00","306.8260",2017-01-21,33.676
"X2017.01.22.10.00.00","307.8739",2017-01-22,34.7239
"X2017.01.23.10.00.00","307.9181",2017-01-23,34.7681
"X2017.01.24.10.00.00","301.2994",2017-01-24,28.1494
"X2017.01.25.10.00.00","302.9172",2017-01-25,29.7672
"X2017.01.26.10.00.00","304.1176",2017-01-26,30.9676
"X2017.01.27.10.00.00","304.3299",2017-01-27,31.1799
"X2017.01.28.10.00.00","303.4907",2017-01-28,30.3407
"X2017.01.29.10.00.00","306.7427",2017-01-29,33.5927
"X2017.01.30.10.00.00","309.2018",2017-01-30,36.0518
"X2017.01.31.10.00.00","309.2260",2017-01-31,36.076
"X2017.02.01.10.00.00","310.0232",2017-02-01,36.8732
"X2017.02.02.10.00.00","309.1754",2017-02-02,36.0254
"X2017.02.03.10.00.00","305.3785",2017-02-03,32.2285
"X2017.02.04.10.00.00","296.3584",2017-02-04,23.2084
"X2017.02.05.10.00.00","300.7046",2017-02-05,27.5546000000001
"X2017.02.06.10.00.00","301.0757",2017-02-06,27.9257
"X2017.02.07.10.00.00","301.7603",2017-02-07,28.6103
"X2017.02.08.10.00.00","302.8809",2017-02-08,29.7309
"X2017.02.09.10.00.00","305.3094",2017-02-09,32.1594
"X2017.02.10.10.00.00","303.2606",2017-02-10,30.1106
"X2017.02.11.10.00.00","302.1151",2017-02-11,28.9651
"X2017.02.12.10.00.00","303.3297",2017-02-12,30.1797
"X2017.02.13.10.00.00","302.9479",2017-02-13,29.7979
"X2017.02.14.10.00.00","303.7849",2017-02-14,30.6349
"X2017.02.15.10.00.00","302.9443",2017-02-15,29.7943
"X2017.02.16.10.00.00","302.5489",2017-02-16,29.3989
"X2017.02.17.10.00.00","303.5655",2017-02-17,30.4155
"X2017.02.18.10.00.00","301.8750",2017-02-18,28.725
"X2017.02.19.10.00.00","300.2465",2017-02-19,27.0965
"X2017.02.20.10.00.00","295.6988",2017-02-20,22.5488
"X2017.02.21.10.00.00","295.9531",2017-02-21,22.8031
"X2017.02.22.10.00.00","296.9126",2017-02-22,23.7626
"X2017.02.23.10.00.00","298.6373",2017-02-23,25.4873
"X2017.02.24.10.00.00","297.2510",2017-02-24,24.101
"X2017.02.25.10.00.00","300.8065",2017-02-25,27.6565000000001
"X2017.02.26.10.00.00","301.3814",2017-02-26,28.2314
"X2017.02.27.10.00.00","300.5778",2017-02-27,27.4278
"X2017.02.28.10.00.00","301.0180",2017-02-28,27.868
"X2017.03.01.10.00.00","302.4478",2017-03-01,29.2978
"X2017.03.02.10.00.00","302.8631",2017-03-02,29.7131
"X2017.03.03.10.00.00","300.9824",2017-03-03,27.8324
"X2017.03.04.10.00.00","298.4029",2017-03-04,25.2529
