date,time,obs
23/04/2007,843,0
24/04/2007,844,0
25/04/2007,845,0
26/04/2007,846,0
27/04/2007,847,0
28/04/2007,848,0
29/04/2007,849,0
30/04/2007,850,0
01/05/2007,851,0
02/05/2007,852,0
03/05/2007,853,0
04/05/2007,854,0
05/05/2007,855,0
06/05/2007,856,0
07/05/2007,857,0
08/05/2007,858,0
09/05/2007,859,0
10/05/2007,860,0
11/05/2007,861,0
12/05/2007,862,0
13/05/2007,863,0
14/05/2007,864,0
15/05/2007,865,0
16/05/2007,866,0
17/05/2007,867,0
18/05/2007,868,0
19/05/2007,869,0
20/05/2007,870,0
21/05/2007,871,0
22/05/2007,872,0
23/05/2007,873,0
24/05/2007,874,0
25/05/2007,875,0
26/05/2007,876,0
27/05/2007,877,0
28/05/2007,878,0
29/05/2007,879,0
30/05/2007,880,0
31/05/2007,881,0
01/06/2007,882,0
02/06/2007,883,0
03/06/2007,884,0
04/06/2007,885,0
05/06/2007,886,0
06/06/2007,887,0
07/06/2007,888,0
08/06/2007,889,0
09/06/2007,890,0
10/06/2007,891,0
11/06/2007,892,0
12/06/2007,893,0
13/06/2007,894,0
14/06/2007,895,0
15/06/2007,896,0
16/06/2007,897,0
17/06/2007,898,0
18/06/2007,899,0
19/06/2007,900,0
20/06/2007,901,0
21/06/2007,902,0
22/06/2007,903,0
23/06/2007,904,0
24/06/2007,905,0
25/06/2007,906,0
26/06/2007,907,0
27/06/2007,908,0
28/06/2007,909,0
29/06/2007,910,0
30/06/2007,911,0
01/07/2007,912,0
02/07/2007,913,0
03/07/2007,914,0
04/07/2007,915,0
05/07/2007,916,0
06/07/2007,917,0
07/07/2007,918,0
08/07/2007,919,0
09/07/2007,920,0
10/07/2007,921,0
11/07/2007,922,0
12/07/2007,923,0
13/07/2007,924,0
14/07/2007,925,0
15/07/2007,926,0
16/07/2007,927,0
17/07/2007,928,0
18/07/2007,929,0
19/07/2007,930,0
20/07/2007,931,0
21/07/2007,932,0
22/07/2007,933,0
23/07/2007,934,0
24/07/2007,935,0
25/07/2007,936,0
26/07/2007,937,0
27/07/2007,938,0
28/07/2007,939,0
29/07/2007,940,0
30/07/2007,941,0
31/07/2007,942,0
01/08/2007,943,0
02/08/2007,944,0
03/08/2007,945,0
04/08/2007,946,0
05/08/2007,947,0
06/08/2007,948,0
07/08/2007,949,0
08/08/2007,950,0
09/08/2007,951,0
10/08/2007,952,0
11/08/2007,953,0
12/08/2007,954,0
13/08/2007,955,0
14/08/2007,956,0
15/08/2007,957,0
16/08/2007,958,0
17/08/2007,959,0
18/08/2007,960,0
19/08/2007,961,0
20/08/2007,962,0
21/08/2007,963,0
22/08/2007,964,0
23/08/2007,965,0
24/08/2007,966,0
25/08/2007,967,0
26/08/2007,968,0
27/08/2007,969,0
28/08/2007,970,0
29/08/2007,971,0
30/08/2007,972,0
31/08/2007,973,0
01/09/2007,974,0
02/09/2007,975,0
03/09/2007,976,0
04/09/2007,977,0
05/09/2007,978,0
06/09/2007,979,0
07/09/2007,980,0
08/09/2007,981,0
09/09/2007,982,0
10/09/2007,983,0
11/09/2007,984,0
12/09/2007,985,0
13/09/2007,986,0
14/09/2007,987,0
15/09/2007,988,0
16/09/2007,989,0
17/09/2007,990,0
18/09/2007,991,0
19/09/2007,992,0
20/09/2007,993,0
21/09/2007,994,0
22/09/2007,995,0
23/09/2007,996,0
24/09/2007,997,0
25/09/2007,998,0
26/09/2007,999,0
27/09/2007,1000,0
28/09/2007,1001,0
29/09/2007,1002,0
30/09/2007,1003,0
01/10/2007,1004,0
02/10/2007,1005,0
03/10/2007,1006,0
04/10/2007,1007,0
05/10/2007,1008,0
06/10/2007,1009,0
07/10/2007,1010,0
08/10/2007,1011,0
09/10/2007,1012,0
10/10/2007,1013,0
11/10/2007,1014,0
12/10/2007,1015,0
13/10/2007,1016,0
14/10/2007,1017,0
15/10/2007,1018,0
16/10/2007,1019,0
17/10/2007,1020,0
18/10/2007,1021,0
19/10/2007,1022,0
20/10/2007,1023,0
21/10/2007,1024,0
22/10/2007,1025,0
23/10/2007,1026,0
24/10/2007,1027,0
25/10/2007,1028,0
26/10/2007,1029,0
27/10/2007,1030,0
28/10/2007,1031,0
29/10/2007,1032,0
30/10/2007,1033,0
31/10/2007,1034,0
01/11/2007,1035,0
02/11/2007,1036,0
03/11/2007,1037,0
04/11/2007,1038,0
05/11/2007,1039,0
06/11/2007,1040,0
07/11/2007,1041,0
08/11/2007,1042,0
09/11/2007,1043,0
10/11/2007,1044,0
11/11/2007,1045,0
12/11/2007,1046,0
13/11/2007,1047,0
14/11/2007,1048,0
15/11/2007,1049,0
16/11/2007,1050,0
17/11/2007,1051,0
18/11/2007,1052,0
19/11/2007,1053,0
20/11/2007,1054,0
21/11/2007,1055,0
22/11/2007,1056,0
23/11/2007,1057,0
24/11/2007,1058,0
25/11/2007,1059,0
26/11/2007,1060,0
27/11/2007,1061,0
28/11/2007,1062,0
29/11/2007,1063,0
30/11/2007,1064,0
01/12/2007,1065,0
02/12/2007,1066,0
03/12/2007,1067,0
04/12/2007,1068,0
05/12/2007,1069,0
06/12/2007,1070,0
07/12/2007,1071,0
08/12/2007,1072,0
09/12/2007,1073,0
10/12/2007,1074,0
11/12/2007,1075,0
12/12/2007,1076,0
13/12/2007,1077,0
14/12/2007,1078,0
15/12/2007,1079,0
16/12/2007,1080,0
17/12/2007,1081,0
18/12/2007,1082,0
19/12/2007,1083,0
20/12/2007,1084,0
21/12/2007,1085,0
22/12/2007,1086,0
23/12/2007,1087,0
24/12/2007,1088,0
25/12/2007,1089,0
26/12/2007,1090,0
27/12/2007,1091,0
28/12/2007,1092,0
29/12/2007,1093,0
30/12/2007,1094,0
31/12/2007,1095,0
01/01/2008,1096,0
02/01/2008,1097,0
03/01/2008,1098,0
04/01/2008,1099,0
05/01/2008,1100,0
06/01/2008,1101,0
07/01/2008,1102,0
08/01/2008,1103,0
09/01/2008,1104,0
10/01/2008,1105,0
11/01/2008,1106,0
12/01/2008,1107,0
13/01/2008,1108,0
14/01/2008,1109,0
15/01/2008,1110,0
16/01/2008,1111,0
17/01/2008,1112,0
18/01/2008,1113,0
19/01/2008,1114,0
20/01/2008,1115,0
21/01/2008,1116,0
22/01/2008,1117,0
23/01/2008,1118,0
24/01/2008,1119,0
25/01/2008,1120,0
26/01/2008,1121,0
27/01/2008,1122,0
28/01/2008,1123,0
29/01/2008,1124,0
30/01/2008,1125,0
31/01/2008,1126,0
01/02/2008,1127,0
02/02/2008,1128,0
03/02/2008,1129,0
04/02/2008,1130,0
05/02/2008,1131,0
06/02/2008,1132,0
07/02/2008,1133,0
08/02/2008,1134,0
09/02/2008,1135,0
10/02/2008,1136,0
11/02/2008,1137,0
12/02/2008,1138,0
13/02/2008,1139,0
14/02/2008,1140,0
15/02/2008,1141,0
16/02/2008,1142,0
17/02/2008,1143,0
18/02/2008,1144,0
19/02/2008,1145,0
20/02/2008,1146,0
21/02/2008,1147,0
22/02/2008,1148,0
23/02/2008,1149,0
24/02/2008,1150,0
25/02/2008,1151,0
26/02/2008,1152,0
27/02/2008,1153,0
28/02/2008,1154,0
29/02/2008,1155,0
01/03/2008,1156,0
02/03/2008,1157,0
03/03/2008,1158,0
04/03/2008,1159,0
05/03/2008,1160,0
06/03/2008,1161,0
07/03/2008,1162,0
08/03/2008,1163,0
09/03/2008,1164,0
10/03/2008,1165,0
11/03/2008,1166,0
12/03/2008,1167,0
13/03/2008,1168,0
14/03/2008,1169,0
15/03/2008,1170,0
16/03/2008,1171,0
17/03/2008,1172,0
